iter	Logloss
0	0.664103278
1	0.6378077069
2	0.6143932964
3	0.5931556645
4	0.5745161769
5	0.5577332624
6	0.5431529418
7	0.5295878657
8	0.5176848181
9	0.5070844157
10	0.4976156359
11	0.488815207
12	0.4808796901
13	0.4738508419
14	0.4676305529
15	0.4620937681
16	0.457042758
17	0.4524269285
18	0.4482333011
19	0.4443176546
20	0.4408627049
21	0.4375694982
22	0.4347232355
23	0.4321469136
24	0.4299371228
25	0.4278310681
26	0.425943573
27	0.4241865824
28	0.4225168289
29	0.4208975159
30	0.4196748934
31	0.4184213705
32	0.4172364335
33	0.4161508877
34	0.4151727503
35	0.4142872933
36	0.4134715521
37	0.4127419795
38	0.4119983406
39	0.4114315463
40	0.4108615627
41	0.4103448601
42	0.4098264338
43	0.4093455405
44	0.4088129997
45	0.4083865379
46	0.4079099363
47	0.4075229024
48	0.4072349653
49	0.406942289
50	0.4066116191
51	0.4063152391
52	0.4060215089
53	0.4057838192
54	0.4055280517
55	0.4053086173
56	0.4050790074
57	0.4048558675
58	0.4046773065
59	0.4044726983
60	0.4043158371
61	0.4041781844
62	0.4040100803
63	0.4038870113
64	0.4037818483
65	0.4036431696
66	0.4034662944
67	0.4033355352
68	0.4031983473
69	0.4030380949
70	0.4028976495
71	0.40274586
72	0.4026083897
73	0.4024944651
74	0.4023212516
75	0.4021980429
76	0.4020657944
77	0.4019246398
78	0.4017981589
79	0.4017001481
80	0.4015707511
81	0.4014606053
82	0.4013511836
83	0.4012279333
84	0.4011212446
85	0.4010205995
86	0.4009189143
87	0.4008504159
88	0.4007272098
89	0.4005958887
90	0.4004786574
91	0.4003651543
92	0.4002989255
93	0.4002030543
94	0.4001341143
95	0.4000274687
96	0.3999286733
97	0.3998212951
98	0.3997445988
99	0.399677901
100	0.3996066989
101	0.3995056907
102	0.3994391747
103	0.399386859
104	0.3992614778
105	0.3991911146
106	0.3990880687
107	0.3989932275
108	0.3988742529
109	0.3987948137
110	0.3986906591
111	0.3986170453
112	0.398560872
113	0.3984412032
114	0.3983283402
115	0.398215962
116	0.398118091
117	0.3980580287
118	0.3979735306
119	0.3979020399
120	0.3978331619
121	0.3977744125
122	0.397700976
123	0.3976368952
124	0.3975611576
125	0.3974588375
126	0.3973613026
127	0.3972792111
128	0.3972303594
129	0.3971445878
130	0.3970821283
131	0.3970085302
132	0.3969148544
133	0.3968386103
134	0.3967582623
135	0.3966969222
136	0.396609041
137	0.3965469363
138	0.3964797111
139	0.3964031144
140	0.3963419319
141	0.39627058
142	0.3961956425
143	0.3961297903
144	0.3960716665
145	0.3959744701
146	0.395909487
147	0.3958455546
148	0.3957842237
149	0.3957405159
150	0.3956999587
151	0.3956322997
152	0.3955424222
153	0.3954470225
154	0.3953456801
155	0.3952753178
156	0.395222501
157	0.3951609013
158	0.395099461
159	0.3950444795
160	0.3949892815
161	0.3949448896
162	0.3948606621
163	0.3947954338
164	0.3947385114
165	0.3946800763
166	0.3946337312
167	0.3945988744
168	0.3944972755
169	0.3944578856
170	0.3944030943
171	0.3943603232
172	0.394304169
173	0.3942515979
174	0.3941944304
175	0.3941419392
176	0.3940844638
177	0.3940144844
178	0.3939364944
179	0.3938555315
180	0.3937968315
181	0.3937257957
182	0.3936756521
183	0.3936235536
184	0.3935588601
185	0.3935116348
186	0.3934604664
187	0.3933847918
188	0.3933543112
189	0.3932844492
